id,code,name,ID,Country,Region,Flood,Earthquake,TC-Wind,TC-Surge,Drought,Tsunami,Volcano,Landslide
10537,1,Afghanistan,1,Afghanistan,20,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10538,3,Albania,2,Albania,13,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Medium confidence in an increase in drought tendency and a consistent increase in the physical area of drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10539,4,Algeria,3,Algeria,13,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,"Climate change impact: In northern Algeria, medium confidence in an increase in drought tendency and consistent increase in the physical area of drought. In southern Algeria, model projections are inconsistent in changes in drought.","Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10540,5,American Samoa (U.S.),4,American Samoa,,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10542,7,Andorra,5,Andorra,13,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Medium confidence in an increase in drought tendency and a consistent increase in the physical area of drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10543,8,Angola,6,Angola,15,Climate change impacts: Medium confidence of little change in amount or intensity of precipitation.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10546,11,Antigua and Barbuda,7,Antigua and Barbuda,,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10547,12,Argentina,8,Argentina,10,"Climate change impacts: In northern Argentina, medium confidence in an increase in daily precipitation, in days of intense precipitation and the number of extreme rainfall events. In southern Argentina, model projections are inconsistent in changes in rainfall.",NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10548,13,Armenia,9,Armenia,19,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10549,14,Aruba (Neth.),10,Aruba,,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10551,17,Australia,11,Australia,25-26,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.","Climate change impact: In northern Australia, model projections are inconsistent in changes in drought. In southern Australia, medium confidence in an increase in drought tendency.","Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10552,18,Austria,12,Austria,12,Climate change impacts: High confidence in more frequent and intense precipitation days in winter and an increase in the number of extreme rainfall events.,NA,NA,NA,Climate change impact: Medium confidence in an increase in drought tendency and an increase in short-term drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10553,19,Azerbaijan,13,Azerbaijan,19,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10554,20,The Bahamas,14,"Bahamas, The",,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10556,21,Bahrain,15,Bahrain,19,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
