ISO_A3,ISO_A2,NAM_0,NAM_1,NAM_2,COD_1,COD_2
CHN,CN,China,Anhui Sheng,Hefei,CHN001,CHN001006
CHN,CN,China,Anhui Sheng,Bengbu,CHN001,CHN001002
CHN,CN,China,Anhui Sheng,Huainan,CHN001,CHN001008
CHN,CN,China,Anhui Sheng,Huaibei,CHN001,CHN001007
CHN,CN,China,Anhui Sheng,Name Unknown,CHN001,CHN001012
CHN,CN,China,Anhui Sheng,Suzhou,CHN001,CHN001013
CHN,CN,China,Hebei Sheng,Baoding,CHN010,CHN010001
CHN,CN,China,Hebei Sheng,Cangzhou,CHN010,CHN010002
CHN,CN,China,Hebei Sheng,Langfang,CHN010,CHN010006
CHN,CN,China,Hebei Sheng,Hengshui,CHN010,CHN010005
CHN,CN,China,Henan Sheng,Puyang,CHN012,CHN012009
CHN,CN,China,Henan Sheng,Shangqiu,CHN012,CHN012011
CHN,CN,China,Heilongjiang Sheng,Harbin,CHN011,CHN011003
CHN,CN,China,Heilongjiang Sheng,Qiqihar,CHN011,CHN011009
CHN,CN,China,Heilongjiang Sheng,Daqing,CHN011,CHN011001
CHN,CN,China,Heilongjiang Sheng,Yichun,CHN011,CHN011013
CHN,CN,China,Heilongjiang Sheng,Qitaihe,CHN011,CHN011010
CHN,CN,China,Heilongjiang Sheng,Mudanjiang,CHN011,CHN011008
CHN,CN,China,Heilongjiang Sheng,Heihe,CHN011,CHN011005
CHN,CN,China,Heilongjiang Sheng,Suihua,CHN011,CHN011012
CHN,CN,China,Heilongjiang Sheng,Daxing'anling,CHN011,CHN011002
CHN,CN,China,Jilin Sheng,Changchun,CHN017,CHN017003
CHN,CN,China,Jilin Sheng,Jilin,CHN017,CHN017004
CHN,CN,China,Jilin Sheng,Siping,CHN017,CHN017006
CHN,CN,China,Jilin Sheng,Liaoyuan,CHN017,CHN017005
CHN,CN,China,Jilin Sheng,Tonghua,CHN017,CHN017008
CHN,CN,China,Jilin Sheng,Baishan,CHN017,CHN017002
CHN,CN,China,Jilin Sheng,Songyuan,CHN017,CHN017007
CHN,CN,China,Jilin Sheng,Baicheng,CHN017,CHN017001
CHN,CN,China,Jilin Sheng,Yanbian Korean,CHN017,CHN017009
CHN,CN,China,Liaoning Sheng,Shenyang,CHN018,CHN018013
CHN,CN,China,Liaoning Sheng,Dalian,CHN018,CHN018004
CHN,CN,China,Liaoning Sheng,Anshan,CHN018,CHN018001
CHN,CN,China,Liaoning Sheng,Fushun,CHN018,CHN018006
CHN,CN,China,Liaoning Sheng,Benxi,CHN018,CHN018002
CHN,CN,China,Liaoning Sheng,Dandong,CHN018,CHN018005
CHN,CN,China,Liaoning Sheng,Name Unknown,CHN018,CHN018011
CHN,CN,China,Liaoning Sheng,Fuxin,CHN018,CHN018007
CHN,CN,China,Liaoning Sheng,Liaoyang,CHN018,CHN018010
CHN,CN,China,Liaoning Sheng,Panjin,CHN018,CHN018012
CHN,CN,China,Liaoning Sheng,Tieling,CHN018,CHN018014
