COD_URB,ISO_A3,NAM_1,COD_1,NAM_URB,NAM_0
4,PYF,French Polynesia (Fr.),PYF001,Papeete,French Polynesia
6,CAN,British Columbia / Colombie-Britannique,CAN002,Victoria,Canada
8,SLV,Ahuachapan,SLV001,Ahuachapan,El Salvador
9,HND,Copan,HND005,Santa Rosa,Honduras
10,NIC,Chinandega,NIC003,Chinandega,Nicaragua
11,BLZ,Belize,BLZ001,Belize City,Belize
12,CRI,Guanacaste,CRI003,Liberia,Costa Rica
13,PAN,Chiriquí,PAN002,David,Panama
15,ECU,Santa Elena,ECU024,Salinas [Santa Elena],Ecuador
17,CUB,Pinar del Río,CUB012,Pinar del Rio,Cuba
18,JAM,Saint James,JAM010,Montego Bay,Jamaica
19,BHS,Administrative unit not available,BHS001,Nassau,Bahamas
22,HTI,Grand-Anse,HTI003,Jérémie,Haiti
23,ABW,Administrative unit not available,ABW001,Oranjestad,Aruba
24,DOM,Barahona,DOM003,Santa Cruz de Barahona,Dominican Republic
27,BOL,Pando,BOL006,Cobija,Bolivia
29,ARG,San Juan,ARG018,San Juan,Argentina
30,TTO,Tunapuna/Piarco,TTO015,Port of Spain,Trinidad and Tobago
31,MTQ,Martinique,MTQ001,Fort-de-France,Martinique
32,BRB,St. Michael,BRB008,Bridgetown,Barbados
33,GUY,Demerara Mahaica (region N°4),GUY003,Georgetown,Guyana
34,SUR,Paramaribo,SUR007,Paramaribo,Suriname
35,PRY,Concepcion,PRY009,Concepción,Paraguay
36,URY,Salto,URY015,Salto,Uruguay
39,SEN,Dakar,SEN001,Dakar,Senegal
40,GMB,West Coast,GMB008,Serrekunda,Gambia
43,GNB,Sector Autonomo De Bissau,GNB008,Bissau,Guinea-Bissau
44,PRT,Madeira,PRT013,Funchal,Portugal
47,SLE,Western Area,SLE005,Freetown,Sierra Leone
48,ISL,Kjosar,ISL009,Reykjavik,Iceland
49,MLI,Kayes,MLI003,Kayes,Mali
50,LBR,Montserrado,LBR011,Monrovia,Liberia
58,DZA,Bechar,DZA007,Bechar,Algeria
68,LUX,Luxembourg,LUX003,Luxembourg,Luxembourg
69,CHE,Geneve,CHE008,Geneva,Switzerland
70,ITA,Piemonte,ITA012,Turin,Italy
71,STP,Sao Tome,STP002,São Tomé,São Tomé and Príncipe
72,DNK,North Jutland,DNK003,Aalborg,Denmark
74,TUN,Le kef,TUN011,Al-Kaf,Tunisia
75,SWE,Vaestra Goetalands Laen,SWE021,Gothenburg,Sweden
76,GNQ,Bioko Norte,GNQ002,Malabo,Equatorial Guinea
77,GAB,Ogooue-Maritime,GAB008,Port-Gentil,Gabon
79,CZE,Zapadocesky,CZE008,Pilsen,Czechia
80,POL,Zachodnio-Pomorskie,POL016,Szczecin,Poland
81,LBY,Az Zawia (azzawiya),LBY010,Al Zawiyah,Libya
82,SVN,Osrednjeslovenska,SVN007,Ljubljana,Slovenia
85,COG,Point-Noire,COG010,Pointe-Noire,Republic of the Congo
87,MLT,Zebbug (malta),MLT065,Valletta,Malta
89,SVK,Bratislava,SVK002,Bratislava,Slovakia
91,BIH,Republika Srpska,BIH002,Banja Luka,Bosnia and Herzegovina
93,FIN,Western Finland,FIN005,Turku,Finland
94,RUS,Kaliningradskaya Oblast,RUS023,Kaliningrad,Russia
101,ALB,Shkoder,ALB031,Shkoder,Albania
102,LVA,Rīga,LVA085,Riga,Latvia
104,ROU,Arad,ROU002,Arad,Romania
105,BLR,Grodno,BLR003,Hrodna,Belarus
108,GRC,Ipeiros,GRC006,Ioannina,Greece
109,BGR,Sofia-city,BGR022,Sofia,Bulgaria
110,MDA,Balti,MDA002,Bălți,Moldova
112,TUR,Edirne,TUR027,Edirne,Turkey
113,ZMB,Western,ZMB110,Mongu,Zambia
114,BWA,Southern,BWA010,Kanye,Botswana
115,EGY,Matrouh,EGY016,Marsa Matruh,Egypt
116,LSO,Maseru,LSO005,Maseru,Lesotho
117,ZWE,Bulawayo,ZWE001,Bulawayo,Zimbabwe
118,SSD,Western Bahr el Ghazal,SSD011,Wau,South Sudan
119,CYP,Pafos,CYP006,Pafos,Cyprus
121,RWA,West/Iburengerazuba,RWA005,Rubavu,Rwanda
124,TZA,Kigoma,TZA010,Kigoma,Tanzania
127,PSE,Khan Yunis,PSE009,Khan Yunis,Palestine
129,SYR,Latakia,SYR011,Latakia,Syria
134,SAU,Tabūk,SAU013,Tabuk,Saudi Arabia
139,ARM,Shirak,ARM007,Gyumri,Armenia
142,AZE,Nakhchivan,AZE048,Nakhchivan,Azerbaijan
145,MDG,Toliara,MDG034,Toliara,Madagascar
147,DJI,Ali Sabeh,DJI001,Ali Sabieh,Djibouti
149,KWT,Al Jahrah,KWT003,Al Jahra,Kuwait
151,TKM,Balkan,TKM002,Turkmenbashy,Turkmenistan
152,BHR,Western Region,BHR012,Manama,Bahrain
153,QAT,Ar Rayyan,QAT006,Doha,Qatar
159,MUS,Plaines Wilhems,MUS007,Port Louis,Mauritius
163,CHN,Xinjiang Uygur Zizhiqu,CHN028,Kashgar,China
165,MDV,Male',MDV013,Malé,Maldives
169,BGD,Rangpur,BGD007,Thakurgaon,Bangladesh
172,IDN,Aceh,IDN001,Banda Aceh,Indonesia
173,THA,Chiang Mai,THA009,Chiang Mai,Thailand
174,LAO,Louangphrabang,LAO008,Luang Prabang,Laos
176,MYS,Pulau Pinang,MYS011,George Town,Malaysia
178,SGP,Sembawang-hong Kah,SGP008,Singapore,Singapore
180,PRK,P'yongan-bukto,PRK008,Sinuiju,North Korea
183,BRN,Brunei and Muara,BRN002,Bandar Seri Begawan,Brunei
186,TLS,Dili,TLS006,Dili,Timor-Leste
187,NZL,Otago,NZL14,Dunedin,New Zealand
189,SLB,Administrative unit not available,SLB001,Honiara,Solomon Islands
190,NCL,Administrative unit not available,NCL001,Nouméa,New Caledonia
191,VUT,Shefa,VUT004,Port Vila,Vanuatu
193,USA,Hawaii,USA012,Honolulu,United States
197,SLV,Sonsonate,SLV013,Sonsonate,El Salvador
199,NIC,León,NIC008,León,Nicaragua
202,ECU,Manabi,ECU013,Manta,Ecuador
203,PAN,Colón,PAN004,Colón,Panama
206,JAM,Manchester,JAM004,Mandeville,Jamaica
208,HTI,Sud,HTI009,Les Cayes,Haiti
209,DOM,San Juan,DOM026,San Juan de la Maguana,Dominican Republic
210,CHL,Tarapaca,CHL014,Iquique,Chile
211,BRA,Acre,BRA001,Rio Branco,Brazil
212,BOL,La Paz,BOL004,La Paz,Bolivia
213,PRI,San Juan,PRI008,Bayamón [San Juan],Puerto Rico
214,ARG,Mendoza,ARG013,Mendoza,Argentina
217,PRY,Central,PRY008,Asuncion,Paraguay
218,URY,Paysandu,URY011,Paysandú,Uruguay
220,SEN,Thiès,SEN009,M'bour,Senegal
221,GMB,West Coast,GMB008,Brikama,Gambia
222,MRT,Nouakchott-Nord,MRT014,Nouakchott,Mauritania
224,GNB,Bafata,GNB001,Bafatá,Guinea-Bissau
228,LBR,Margibi,LBR009,Kakata,Liberia
232,CIV,Montagnes,CIV031,Man,Côte d'Ivoire
234,BFA,Cascades,BFA002,Banfora,Burkina Faso
235,GBR,Northern Ireland,GBR003,Belfast,United Kingdom
240,BEN,Atacora,BEN002,Natitingou,Benin
244,NLD,Zuid-holland,NLD012,Rotterdam [The Hague],Netherlands
247,CHE,Vaud,CHE024,Lausanne,Switzerland
249,DNK,Central Jutland,DNK002,Aarhus,Denmark
252,AUT,Tirol,AUT007,Innsbruck,Austria
253,CMR,Sud - Ouest,CMR010,Buea,Cameroon
255,GNQ,Litoral,GNQ006,Bata,Equatorial Guinea
259,AGO,Namibe,AGO016,Moçâmedes,Angola
263,HUN,Vas,HUN018,Szombathely,Hungary
266,NAM,Erongo,NAM002,Swakopmund,Namibia
269,FIN,Oulu,FIN003,Oulu,Finland
271,SRB,Juzno-backi,SRB005,Novi Sad,Serbia
273,ALB,Durres,ALB006,Durrës,Albania
276,ROU,Timiş,ROU038,Timișoara,Romania
278,RUS,Murmanskaya Oblast,RUS049,Murmansk,Russia
280,BLR,Brest,BLR001,Brest,Belarus
285,BGR,Plovdiv,BGR014,Plovdiv,Bulgaria
287,TUR,Canakkale,TUR022,Çanakkale,Turkey
289,BWA,Kweneng,BWA006,Molepolole,Botswana
291,EGY,Behera,EGY004,Alexandria,Egypt
294,CYP,Lemesos,CYP005,Limassol,Cyprus
295,BDI,Mairie de Bujumbura,BDI002,Bujumbura,Burundi
296,RWA,North/Amajyaruguru,RWA003,Musanze,Rwanda
299,MOZ,Maputo,MOZ006,Maputo,Mozambique
300,PSE,Deir al Balah,PSE005,Deir el-Balah,Palestine
301,ISR,Southern District,ISR005,Ashdod,Israel
302,LBN,South,LBN008,Sidon,Lebanon
306,SAU,Al Jawf,SAU004,Al Qurayyat,Saudi Arabia
312,ARM,Yerevan,ARM011,Yerevan,Armenia
315,KAZ,Atyrauskaya,KAZ005,Atyrau,Kazakhstan
325,ARE,Abu Dhabi,ARE001,Abu Dhabi,United Arab Emirates
334,NPL,Sudurpashchim,NPL004,Laksmipur,Nepal
335,LKA,North Western,LKA004,Puttalam,Sri Lanka
337,MNG,Ulaanbaatar,MNG011,Ulaanbaatar,Mongolia
341,VNM,Lao Cai,VNM038,Lào Cai,Vietnam
342,LAO,Vientiane [prefecture],LAO014,Vientiane,Laos
343,MYS,Kedah,MYS002,Alor Setar,Malaysia
345,SGP,Sembawang-hong Kah,SGP008,Sembawang,Singapore
348,KOR,Kyonggi-do,KOR009,Seoul,South Korea
349,CHN,Taiwan Sheng,TWN001,Zhanghua City,Taiwan
351,JPN,Hokkaidoo,JPN008,Sapporo,Japan
353,NZL,Canterbury,NZL13,Christchurch,New Zealand
355,FJI,Central,FJI001,Suva,Fiji
357,MEX,Baja California,MEX002,Ensenada,México
358,CAN,British Columbia / Colombie-Britannique,CAN002,Vancouver,Canada
359,GTM,San Marcos,GTM017,San Pedro Sacatepéquez [San Marcos],Guatemala
362,NIC,Managua,NIC010,Managua,Nicaragua
363,CRI,Alajuela,CRI001,San José,Costa Rica
365,ECU,Manabi,ECU013,Portoviejo,Ecuador
367,CUB,La Habana,CUB008,Havana,Cuba
369,JAM,Clarendon,JAM001,May Pen,Jamaica
372,DOM,Valverde,DOM032,Mao,Dominican Republic
373,CHL,Antofagasta,CHL002,Antofagasta,Chile
377,ARG,Jujuy,ARG010,San Salvador de Jujuy,Argentina
380,URY,Tacuarembo,URY018,Tacuarembó,Uruguay
381,SEN,Thiès,SEN009,Thiès,Senegal
382,ESP,Canarias,ESP004,Santa Cruz de Tenerife,Spain
383,GNB,Gabu,GNB005,Gabu,Guinea-Bissau
384,GMB,Upper River,GMB007,Basse Santa Su,Gambia
386,MRT,Gorgol,MRT005,Kaédi,Mauritania
391,MLI,District de Bamako,MLI001,Bamako,Mali
393,CIV,Montagnes,CIV031,Guiglo,Côte d'Ivoire
394,IRL,Dublin,IRL006,Dublin,Ireland
395,BFA,Hauts-bassins,BFA009,Bobo-Dioulasso,Burkina Faso
397,GHA,Upper West,GHA008,Wa,Ghana
403,BEL,Vlaams Gewest,BEL003,Bruges,Belgium
408,CHE,Neuchatel,CHE013,Neuchâtel,Switzerland
414,GAB,Estuaire,GAB001,Libreville,Gabon
415,AUT,Salzburg,AUT005,Salzburg,Austria
419,HRV,Grad Zagreb,HRV003,Zagreb,Croatia
422,HUN,Gyor-moson-sopron,HUN008,Gyor,Hungary
424,TCD,Ville de N'Djamena,TCD022,N'Djamena,Chad
426,BIH,Federacija Bosne I Hercegovine,BIH001,Sarajevo,Bosnia and Herzegovina
427,COG,Brazzaville,COG002,Brazzaville,Republic of the Congo
429,NAM,Khomas,NAM006,Windhoek,Namibia
431,ZAF,Western Cape,ZAF009,Cape Town,South Africa
432,ALB,Vlore,ALB036,Vlora,Albania
435,ROU,Bihor,ROU005,Oradea,Romania
436,MKD,Skopje,MKD005,Skopje,North Macedonia
439,GRC,Thessalia,GRC012,Larissa,Greece
440,RUS,Pskovskaya Oblast,RUS061,Pskov,Russia
442,MDA,Chisinau,MDA010,Chișinău,Moldova
443,TUR,Kirklareli,TUR050,Kırklareli,Turkey
446,ZMB,Southern,ZMB109,Livingstone,Zambia
447,EGY,Alexandria,EGY001,Al Wadi,Egypt
448,ZWE,Midlands,ZWE010,Gweru,Zimbabwe
450,CYP,Lefkosia,CYP001,Strovolos [Nicosia],Cyprus
453,UGA,Kabarole,UGA038,Fort Portal,Uganda
456,PSE,Gaza,PSE006,Gaza,Palestine
457,ISR,Tel Aviv,ISR006,Tel Aviv,Israel
458,LBN,Mount Lebanon,LBN005,Beirut,Lebanon
461,MWI,Central Region,MWI001,Lilongwe,Malawi
467,GEO,Tbilisi (City),GEO012,Tbilisi,Georgia
