ADM1_CODE;ADM1_NAME;ADM0_CODE;ADM0_NAME
272;Badakhshan;1;Afghanistan
273;Badghis;1;Afghanistan
274;Baghlan;1;Afghanistan
275;Balkh;1;Afghanistan
276;Bamyan;1;Afghanistan
277;Farah;1;Afghanistan
278;Faryab;1;Afghanistan
279;Ghazni;1;Afghanistan
280;Ghor;1;Afghanistan
281;Hilmand;1;Afghanistan
282;Hirat;1;Afghanistan
283;Jawzjan;1;Afghanistan
284;Kabul;1;Afghanistan
285;Kandahar;1;Afghanistan
286;Kapisa;1;Afghanistan
287;Khost;1;Afghanistan
288;Kunar;1;Afghanistan
289;Kunduz;1;Afghanistan
290;Laghman;1;Afghanistan
291;Logar;1;Afghanistan
292;Nangarhar;1;Afghanistan
293;Nimroz;1;Afghanistan
294;Nuristan;1;Afghanistan
295;Paktika;1;Afghanistan
296;Paktya;1;Afghanistan
298;Samangan;1;Afghanistan
299;Sar-e-Pul;1;Afghanistan
300;Takhar;1;Afghanistan
302;Wardak;1;Afghanistan
303;Zabul;1;Afghanistan
305;Berat;3;Albania
306;Bulqize;3;Albania
307;Delvine;3;Albania
308;Devoll;3;Albania
309;Diber;3;Albania
310;Durres;3;Albania
311;Elbasan;3;Albania
312;Fier;3;Albania
313;Gjirokaster;3;Albania
314;Gramsh;3;Albania
315;Has;3;Albania
316;Kavaje;3;Albania
317;Kolonje;3;Albania
318;Korce;3;Albania
319;Kruje;3;Albania
320;Kucove;3;Albania
321;Kukes;3;Albania
322;Kurbin;3;Albania
323;Lezhe;3;Albania
324;Librazhd;3;Albania
325;Lushnje;3;Albania
326;Malesi E Madhe;3;Albania
327;Mallakaster;3;Albania
328;Mat;3;Albania
329;Mirdite;3;Albania
330;Peqin;3;Albania
331;Permet;3;Albania
332;Pogradec;3;Albania
333;Puke;3;Albania
334;Sarande;3;Albania
335;Shkoder;3;Albania
336;Skrapar;3;Albania
337;Tepelene;3;Albania
338;Tirane;3;Albania
339;Tropoje;3;Albania
340;Vlore;3;Albania
341;Adrar;4;Algeria
342;Ain-Defla;4;Algeria
343;Ain-Temouchent;4;Algeria
344;Alger;4;Algeria
345;Annaba;4;Algeria
346;Batna;4;Algeria
347;Bechar;4;Algeria
348;Bejaia;4;Algeria
349;Biskra;4;Algeria
350;Blida;4;Algeria
351;Bordj Bou Arrer;4;Algeria
352;Bouira;4;Algeria
353;Boumerdes;4;Algeria
354;Chlef;4;Algeria
355;Constantine;4;Algeria
356;Djelfa;4;Algeria
357;El Bayadh;4;Algeria
358;El Oued;4;Algeria
359;El-Tarf;4;Algeria
360;Ghardaia;4;Algeria
361;Guelma;4;Algeria
362;Illizi;4;Algeria
363;Jijel;4;Algeria
364;Khenchela;4;Algeria
365;Laghouat;4;Algeria
366;Mascara;4;Algeria
367;Medea;4;Algeria
368;Mila;4;Algeria
369;Mostaganem;4;Algeria
370;M'Sila;4;Algeria
371;Naama;4;Algeria
372;Oran;4;Algeria
373;Ouargla;4;Algeria
374;Oum El Bouaghi;4;Algeria
375;Relizane;4;Algeria
376;Saida;4;Algeria
377;Setif;4;Algeria
378;Sidi Bel Abbes;4;Algeria
379;Skikda;4;Algeria
380;Souk-Ahras;4;Algeria
381;Tamanrasset;4;Algeria
382;Tebessa;4;Algeria
383;Tindouf;4;Algeria
384;Tiaret;4;Algeria
385;Tipaza;4;Algeria
386;Tissemsilt;4;Algeria
387;Tizi Ouzou;4;Algeria
388;Tlemcen;4;Algeria
389;Administrative unit not available;5;American Samoa (U.S.)
391;Andorra La Vella;7;Andorra
392;Canillo;7;Andorra
