ADM2_CODE;ADM2_NAME;ADM1_CODE;ADM1_NAME;ADM0_CODE;ADM0_NAME
487;Aghdash;147298;Aran;19;Azerbaijan
488;Aghdam;147306;Yukhari Garabakh;19;Azerbaijan
489;Agdjabedi;147298;Aran;19;Azerbaijan
490;Aghstafa;147300;Ganja-Gazakh;19;Azerbaijan
491;Aghsu;147299;Daghlig Shirvan;19;Azerbaijan
492;Shirvan;147298;Aran;19;Azerbaijan
493;Absheron;147297;Absheron;19;Azerbaijan
494;Astara;147303;Lankaran;19;Azerbaijan
495;Baku;147297;Absheron;19;Azerbaijan
496;Barda;147298;Aran;19;Azerbaijan
498;Beilagan;147298;Aran;19;Azerbaijan
499;Balaken;147305;Shaki-Zaqatala;19;Azerbaijan
500;Bilasuvar;147298;Aran;19;Azerbaijan
501;Shahbuz;147304;Nakhchivan;19;Azerbaijan
502;Shamkir;147300;Ganja-Gazakh;19;Azerbaijan
503;Sheki;147305;Shaki-Zaqatala;19;Azerbaijan
504;Shamakhi;147299;Daghlig Shirvan;19;Azerbaijan
506;Dashkesan;147300;Ganja-Gazakh;19;Azerbaijan
507;Shabran;147301;Guba-Khachmaz;19;Azerbaijan
508;Jalilabad;147303;Lankaran;19;Azerbaijan
509;Jebrail;147306;Yukhari Garabakh;19;Azerbaijan
513;Fuzuli;147306;Yukhari Garabakh;19;Azerbaijan
514;Gabala;147305;Shaki-Zaqatala;19;Azerbaijan
515;Gakh;147305;Shaki-Zaqatala;19;Azerbaijan
516;Ganja;147300;Ganja-Gazakh;19;Azerbaijan
517;Goychay;147298;Aran;19;Azerbaijan
519;Gobustan;147299;Daghlig Shirvan;19;Azerbaijan
520;Gusar;147301;Guba-Khachmaz;19;Azerbaijan
521;Imishli;147298;Aran;19;Azerbaijan
522;Ismailli;147299;Daghlig Shirvan;19;Azerbaijan
523;Gazakh;147300;Ganja-Gazakh;19;Azerbaijan
524;Gadabey;147300;Ganja-Gazakh;19;Azerbaijan
526;Hajigabul;147298;Aran;19;Azerbaijan
527;Goygol;147300;Ganja-Gazakh;19;Azerbaijan
528;Khachmaz;147301;Guba-Khachmaz;19;Azerbaijan
529;Khizi;147297;Absheron;19;Azerbaijan
530;Guba;147301;Guba-Khachmaz;19;Azerbaijan
531;Gubadli;147302;Kalbajar-Lachin;19;Azerbaijan
532;Kyurdamir;147298;Aran;19;Azerbaijan
534;Administrative unit not available;147307;Administrative unit not available;19;Azerbaijan
535;Lachin;147302;Kalbajar-Lachin;19;Azerbaijan
536;Lenkeran;147303;Lankaran;19;Azerbaijan
537;Lerik;147303;Lankaran;19;Azerbaijan
538;Masalli;147303;Lankaran;19;Azerbaijan
539;Mingechevir;147298;Aran;19;Azerbaijan
540;Naftalan;147300;Ganja-Gazakh;19;Azerbaijan
541;Nakhchivan;147304;Nakhchivan;19;Azerbaijan
542;Neftchala;147298;Aran;19;Azerbaijan
543;Oghuz;147305;Shaki-Zaqatala;19;Azerbaijan
546;Saatli;147298;Aran;19;Azerbaijan
547;Sabirabad;147298;Aran;19;Azerbaijan
548;Salyan;147298;Aran;19;Azerbaijan
550;Sederek;147304;Nakhchivan;19;Azerbaijan
551;Siazan;147301;Guba-Khachmaz;19;Azerbaijan
552;Sumgayit;147297;Absheron;19;Azerbaijan
554;Tovuz;147300;Ganja-Gazakh;19;Azerbaijan
555;Ujar;147298;Aran;19;Azerbaijan
556;Yardimli;147303;Lankaran;19;Azerbaijan
558;Zagatala;147305;Shaki-Zaqatala;19;Azerbaijan
559;Zangilan;147302;Kalbajar-Lachin;19;Azerbaijan
560;Zardab;147298;Aran;19;Azerbaijan
1379;Bakel;1377;Tambacounda;217;Senegal
1380;Birkilane;1378;Kaffrine;217;Senegal
1381;Bounkiling;1376;Sedhiou;217;Senegal
1382;Dakar;2636;Dakar;217;Senegal
1383;Gossas;47586;Fatick;217;Senegal
1384;Goudiry;1377;Tambacounda;217;Senegal
