country_code;FL;UF;CF;EQ;LS;TS;VA;CY;DG;EH;WF
1;HIG;HIG;VLO;HIG;HIG;no-data;LOW;LOW;HIG;HIG;HIG
3;HIG;HIG;HIG;HIG;HIG;MED;no-data;VLO;MED;MED;HIG
4;HIG;HIG;HIG;MED;VLO;LOW;VLO;VLO;HIG;HIG;HIG
5;no-data;no-data;MED;MED;no-data;HIG;LOW;HIG;no-data;MED;VLO
6;HIG;HIG;HIG;MED;no-data;VLO;HIG;VLO;HIG;HIG;HIG
7;VLO;HIG;VLO;MED;no-data;no-data;VLO;VLO;VLO;VLO;HIG
8;HIG;HIG;HIG;MED;no-data;LOW;no-data;VLO;HIG;MED;HIG
9;VLO;VLO;MED;MED;no-data;MED;HIG;HIG;no-data;MED;VLO
11;VLO;HIG;MED;MED;no-data;MED;MED;HIG;no-data;MED;VLO
12;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;HIG;HIG;HIG
13;HIG;HIG;VLO;HIG;HIG;no-data;HIG;VLO;LOW;MED;HIG
14;VLO;VLO;MED;MED;no-data;MED;no-data;HIG;no-data;MED;VLO
16;no-data;no-data;HIG;LOW;no-data;no-data;no-data;HIG;VLO;MED;VLO
17;HIG;HIG;HIG;HIG;LOW;HIG;MED;HIG;LOW;HIG;HIG
18;HIG;HIG;VLO;MED;LOW;no-data;no-data;VLO;LOW;MED;HIG
19;HIG;HIG;VLO;HIG;HIG;no-data;HIG;VLO;LOW;MED;HIG
20;VLO;VLO;HIG;VLO;no-data;MED;no-data;HIG;VLO;MED;VLO
21;VLO;VLO;HIG;VLO;no-data;VLO;no-data;VLO;no-data;HIG;VLO
22;no-data;no-data;VLO;VLO;no-data;no-data;no-data;VLO;no-data;MED;VLO
23;HIG;HIG;HIG;MED;HIG;MED;no-data;HIG;MED;HIG;HIG
24;VLO;LOW;MED;MED;no-data;MED;no-data;HIG;no-data;MED;VLO
26;HIG;HIG;VLO;MED;no-data;no-data;no-data;VLO;MED;MED;HIG
27;HIG;MED;HIG;MED;no-data;VLO;MED;VLO;MED;LOW;HIG
28;HIG;HIG;HIG;MED;LOW;LOW;no-data;HIG;MED;HIG;HIG
29;HIG;HIG;MED;VLO;no-data;LOW;no-data;VLO;HIG;HIG;HIG
30;no-data;no-data;MED;VLO;no-data;LOW;no-data;HIG;no-data;LOW;VLO
31;HIG;HIG;VLO;MED;HIG;no-data;no-data;LOW;MED;HIG;HIG
33;HIG;HIG;VLO;MED;HIG;no-data;HIG;VLO;HIG;HIG;HIG
34;HIG;HIG;MED;MED;HIG;LOW;no-data;VLO;MED;MED;HIG
35;HIG;HIG;VLO;MED;no-data;no-data;no-data;LOW;HIG;MED;HIG
36;no-data;no-data;no-data;VLO;no-data;MED;MED;VLO;no-data;VLO;VLO
37;HIG;HIG;HIG;MED;LOW;MED;VLO;VLO;MED;HIG;HIG
38;no-data;no-data;MED;VLO;no-data;MED;no-data;HIG;no-data;MED;VLO
39;VLO;VLO;MED;MED;no-data;LOW;no-data;HIG;no-data;MED;VLO
40;HIG;HIG;HIG;LOW;LOW;MED;no-data;LOW;VLO;MED;LOW
41;HIG;HIG;VLO;MED;LOW;no-data;no-data;VLO;MED;MED;HIG
42;HIG;HIG;VLO;VLO;no-data;no-data;no-data;VLO;HIG;HIG;HIG
43;HIG;MED;VLO;MED;VLO;no-data;VLO;VLO;MED;MED;HIG
44;HIG;HIG;HIG;LOW;LOW;LOW;VLO;HIG;LOW;HIG;HIG
45;HIG;HIG;HIG;LOW;MED;LOW;HIG;VLO;HIG;HIG;HIG
46;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;MED;HIG
47;no-data;no-data;MED;VLO;no-data;LOW;LOW;MED;no-data;LOW;VLO
48;VLO;LOW;MED;MED;no-data;LOW;no-data;HIG;no-data;MED;VLO
49;HIG;HIG;VLO;LOW;no-data;no-data;no-data;VLO;HIG;HIG;HIG
50;HIG;HIG;VLO;VLO;no-data;no-data;VLO;VLO;HIG;HIG;HIG
51;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;HIG;MED;HIG
54;no-data;no-data;MED;LOW;no-data;MED;no-data;HIG;no-data;MED;VLO
55;no-data;no-data;MED;VLO;no-data;no-data;no-data;HIG;no-data;MED;VLO
56;no-data;no-data;HIG;VLO;no-data;MED;no-data;HIG;no-data;MED;VLO
57;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;LOW;HIG;HIG
58;VLO;VLO;HIG;MED;LOW;LOW;MED;HIG;VLO;MED;VLO
59;HIG;HIG;VLO;LOW;no-data;LOW;no-data;VLO;LOW;MED;HIG
60;no-data;no-data;MED;VLO;no-data;HIG;no-data;HIG;no-data;MED;VLO
61;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;LOW;MED;HIG
62;HIG;HIG;HIG;MED;MED;LOW;no-data;VLO;MED;MED;HIG
63;HIG;HIG;HIG;MED;MED;LOW;no-data;HIG;LOW;MED;HIG
64;LOW;LOW;HIG;MED;VLO;MED;no-data;VLO;LOW;MED;HIG
65;HIG;HIG;VLO;MED;VLO;no-data;no-data;VLO;LOW;LOW;HIG
66;HIG;HIG;MED;VLO;no-data;LOW;no-data;VLO;HIG;HIG;HIG
67;HIG;HIG;HIG;MED;VLO;MED;HIG;HIG;MED;MED;HIG
68;HIG;HIG;MED;MED;LOW;LOW;MED;VLO;MED;MED;HIG
69;HIG;HIG;HIG;VLO;no-data;VLO;no-data;VLO;MED;VLO;MED
70;LOW;VLO;HIG;MED;no-data;LOW;HIG;VLO;MED;HIG;HIG
71;VLO;HIG;MED;MED;HIG;MED;HIG;HIG;no-data;MED;VLO
72;HIG;HIG;HIG;MED;LOW;LOW;no-data;HIG;MED;MED;HIG
73;HIG;HIG;HIG;HIG;HIG;HIG;HIG;VLO;VLO;HIG;HIG
74;HIG;HIG;VLO;MED;no-data;no-data;VLO;VLO;HIG;HIG;HIG
75;HIG;HIG;HIG;HIG;HIG;HIG;HIG;HIG;MED;HIG;HIG
76;HIG;HIG;MED;MED;MED;LOW;HIG;VLO;VLO;MED;MED
77;HIG;MED;HIG;MED;VLO;LOW;MED;VLO;HIG;HIG;HIG
78;HIG;HIG;MED;VLO;no-data;no-data;no-data;VLO;HIG;LOW;MED
79;HIG;HIG;VLO;MED;LOW;no-data;HIG;LOW;MED;HIG;HIG
81;VLO;VLO;HIG;MED;no-data;MED;no-data;VLO;VLO;VLO;HIG
82;no-data;no-data;MED;VLO;no-data;LOW;no-data;no-data;no-data;VLO;VLO
83;HIG;HIG;HIG;HIG;HIG;HIG;LOW;HIG;VLO;MED;HIG
84;VLO;VLO;MED;VLO;no-data;no-data;no-data;VLO;LOW;LOW;MED
85;HIG;HIG;HIG;MED;LOW;LOW;MED;VLO;MED;MED;HIG
86;HIG;HIG;HIG;MED;no-data;MED;no-data;VLO;VLO;MED;HIG
87;no-data;no-data;HIG;VLO;no-data;HIG;LOW;HIG;no-data;MED;VLO
88;no-data;no-data;HIG;VLO;no-data;MED;LOW;MED;no-data;VLO;VLO
89;HIG;HIG;HIG;VLO;VLO;LOW;no-data;VLO;VLO;MED;HIG
90;HIG;HIG;HIG;VLO;no-data;LOW;no-data;VLO;HIG;HIG;HIG
91;LOW;LOW;VLO;LOW;no-data;MED;no-data;VLO;HIG;MED;VLO
92;HIG;HIG;VLO;HIG;HIG;no-data;HIG;VLO;LOW;HIG;HIG
93;HIG;HIG;HIG;MED;LOW;VLO;MED;VLO;MED;MED;HIG
94;HIG;HIG;HIG;MED;no-data;LOW;no-data;VLO;HIG;HIG;HIG
95;VLO;VLO;VLO;LOW;no-data;LOW;no-data;VLO;MED;MED;HIG
97;HIG;HIG;HIG;HIG;HIG;MED;HIG;VLO;MED;MED;HIG
98;no-data;no-data;HIG;MED;no-data;LOW;no-data;LOW;no-data;VLO;MED
99;VLO;LOW;MED;MED;HIG;MED;LOW;HIG;no-data;MED;VLO
